,Lat,Long_,Deaths,Case_Fatality_Ratio,Temperature
125,30.9756,112.2707,,6.552330056,3.28
126,27.6104,111.7088,4.0,0.1340931948,4.33
127,44.0935,113.9448,1.0,0.01191327138,-19.79
128,32.9711,119.455,0.0,0.0,-2.96
129,27.614,115.7221,1.0,0.05073566717,3.48
130,43.6661,126.1923,5.0,0.01235025318,-11.48
131,41.2956,122.6085,2.0,0.064808814,-10.05
132,22.1667,113.55,61.0,0.8285532186,15.01
133,37.2692,106.1655,0.0,0.0,-11.71
134,35.7452,95.9956,0.0,0.0,-16.42
135,35.1917,108.8701,5.0,0.05367686527,-11.17
136,36.3427,118.1498,9.0,0.1667708985,-7.75
137,31.202,121.4491,,0.9094660899,0.94
138,37.5777,112.2922,1.0,0.0,-10.9
139,30.6171,102.7103,11.0,0.04158695833,-7.83
140,39.3054,117.323,3.0,0.1029866117,-6.99
141,31.6927,88.0924,0.0,0.0,-8.7
143,41.1129,85.2401,3.0,0.1139817629,-11.94
144,24.974,101.487,2.0,0.03596475454,1.36
145,29.1832,120.0934,1.0,0.01603849238,-0.57
146,-1.4429,-71.5724,,3.382259094,26.55
147,7.1986,-75.3412,,1.957077434,25.67
148,7.0762,-70.7105,,3.313588646,32.01
149,10.6966,-74.8741,,2.449043137,30.61
150,8.6704,-74.03,,1.610896052,35.73
151,5.4545,-73.362,,2.222564973,17.19
152,5.2983,-75.2479,,2.147090337,12.99
153,4.711,-74.0721,,1.604553561,16.74
154,0.8699,-73.8419,,4.063707694,31.72
155,5.7589,-71.5724,,2.385607224,35.99
156,2.705,-76.826,,2.420727397,19.07
157,9.3373,-73.6536,,2.462521864,40.45
158,5.2528,-76.826,,2.274896596,29.21
159,8.0493,-75.574,,3.234137849,32.16
160,5.026,-74.03,,2.243005999,14.56
161,2.5854,-68.5247,37.0,1.324740422,29.18
162,1.0654,-73.2603,105.0,1.851525304,30.37
163,2.5359,-75.5277,,3.474592708,30.97
164,11.3548,-72.5205,,2.66214074,32.71
165,10.4113,-74.4057,,3.105083363,38.35
166,3.272,-73.0877,,2.417668219,33.62
167,1.2892,-77.3579,,3.140687228,20.15
168,7.9463,-72.8988,,4.147790033,28.29
169,0.436,-75.5277,,3.610488262,30.38
170,4.461,-75.6674,,2.85267361,24.1
171,5.3158,-75.9928,,2.280204508,23.9
172,12.5567,-81.7185,156.0,1.507974867,29.86
173,6.6437,-73.6536,,2.828662423,30.08
174,8.814,-74.7233,,2.60117761,35.71
175,4.0925,-75.1545,,3.21102723,29.69
177,3.8009,-76.6413,,2.710926207,16.87
178,0.8554,-70.812,22.0,1.12244898,31.35
179,4.4234,-69.2878,64.0,1.844912078,34.91
180,-11.6455,43.3333,161.0,1.792274296,21.32
181,-0.228,15.8277,,1.521182266,24.37
182,-4.0383,21.7587,,1.536149958,23.14
183,9.7489,-83.7534,,0.7785972737,22.74
184,7.54,-5.5471,,0.9460027971,30.73
185,45.1,15.2,,1.395194383,7.79
186,21.521757,-77.781167,,0.7670401154,28.36
187,35.1264,33.4299,,0.199331021,6.86
188,49.8175,15.473,,0.9203779644,5.05
189,61.8926,-6.9118,28.0,0.08078942813,0.96
190,71.7069,-42.6043,21.0,0.1754239412,-36.96
191,56.2639,9.5018,,0.2318083914,5.03
193,11.8251,42.5903,189.0,1.20458891,20.67
194,15.415,-61.371,74.0,0.4695431472,26.89
195,18.7357,-70.1627,,0.6653887075,24.0
196,-1.8312,-78.1834,,3.454231434,20.14
197,26.820553,30.802498,,4.809898283,13.75
198,13.7942,-88.8965,,2.096290606,28.84
199,1.6508,10.2679,183.0,1.064820202,18.79
200,15.1794,39.7823,103.0,1.010894101,25.37
201,58.5953,25.0136,,0.468935474,1.36
202,-26.5225,31.4659,,1.92073912,20.47
203,9.145,40.4897,,1.519103143,22.72
204,-17.7134,178.065,,1.281454545,21.36
205,61.92411,25.748151,,0.5515903505,-1.55
206,4.0,-53.0,,0.4199062107,26.63
207,-17.6797,-149.4068,,0.83251023,23.98
208,16.265,-61.551,,0.4995299718,30.01
209,14.6415,-61.0242,,0.4790254341,29.45
210,-12.8275,45.166244,188.0,0.4476936632,27.97
211,-20.904305,165.618042,,0.39444263,26.73
212,-21.1151,55.5364,,0.1861673163,13.08
213,17.9,-62.8333,6.0,0.1110699741,26.24
214,46.8852,-56.3159,2.0,0.0597193192,-2.29
215,18.0708,-63.0501,63.0,0.5172413793,26.33
216,-14.2938,-178.1165,7.0,0.204260286,26.84
217,46.2276,2.2137,,0.4144839795,7.03
218,-0.8037,11.6094,,0.6247447938,21.36
219,13.4432,-15.3101,,2.955665025,34.06
220,42.3154,43.3569,,0.9339771709,2.77
221,48.6616,9.3501,,0.3744630691,8.39
222,48.7904,11.4979,,0.4172347054,5.56
223,52.52,13.405,,0.3774775517,9.17
224,52.4125,12.5316,,0.5775914573,9.65
225,53.0793,8.8017,,0.3120521783,6.98
226,53.5511,9.9937,,0.4265362449,8.24
227,50.6521,9.1624,,0.4173689843,8.65
228,53.6127,12.4296,,0.3820203554,7.03
229,52.6367,9.8451,,0.3294732912,9.38
230,51.4332,7.6616,,0.3842567367,8.91
231,50.1183,7.309,,0.387604531,7.41
232,49.3964,7.023,,0.4208017073,9.15
233,51.1045,13.2017,,0.8574446032,10.83
234,51.9503,11.6923,,0.6497376891,9.28
235,54.2194,9.6961,,0.2878785789,6.09
236,51.011,10.8453,,0.9279015361,10.73
238,7.9465,-1.0232,,0.8540613217,32.44
239,39.0742,21.8243,,0.6268195276,5.47
240,12.1165,-61.679,,1.210579858,27.83
241,15.7835,-90.2308,,1.658438721,24.9
242,9.9456,-9.6966,,1.219576027,30.38
243,11.8037,-15.1804,176.0,1.967139823,24.98
244,4.860416,-58.93018,,1.783811461,31.33
245,18.9712,-72.2852,,2.536573856,29.81
246,41.9029,12.4534,0.0,0.0,14.11
247,15.2,-86.2419,,2.370516778,24.53
248,47.1625,19.5033,,2.218622245,9.97
249,64.9631,-19.0208,,0.1099386456,-11.08
250,11.225999,92.968178,129.0,1.200334977,26.95
251,15.9129,79.74,,0.6298654466,19.95
252,27.768456,96.384277,,0.4425109507,13.51
253,26.357149,92.830441,,1.076933387,16.31
254,25.679658,85.60484,,1.444910865,12.72
255,30.733839,76.768278,,1.18869083,10.65
256,21.264705,82.035366,,1.201094621,18.57
257,20.194742,73.080901,4.0,0.03450953326,21.82
258,28.646519,77.10898,,1.321260431,12.06
259,15.359682,74.057396,,1.548906541,23.75
260,22.694884,71.590923,,0.8643624828,21.59
261,29.20004,76.332824,,1.013980322,11.71
262,31.927213,77.233081,,1.347461476,2.81
263,33.75943,76.612638,,0.9980664418,-32.83
264,23.654536,85.557631,,1.204549768,13.17
265,14.70518,76.166436,,0.9898471174,21.52
266,10.450898,76.405749,,1.047949768,19.88
267,34.1526,77.5771,,0.7853670146,-16.49
268,13.6999972,72.1833326,52.0,0.4555409549,27.89
269,23.541513,78.289633,,1.021499261,15.66
270,19.449759,76.108221,,1.824038541,23.12
271,24.738975,93.882541,,1.535833738,8.79
272,25.536934,91.278882,,1.6779633,7.75
273,23.309381,92.83822,,0.3038114528,6.22
274,26.06702,94.470302,,2.173067304,15.21
275,20.505428,84.418059,,0.6887036883,15.96
276,11.882658,78.86498,,1.12515738,19.62
277,30.841465,75.40879,,2.455767789,9.72
278,26.583423,73.847973,,0.7337805089,14.62
279,27.571671,88.472712,,1.125927932,2.82
280,11.006091,78.400624,,1.05854035,20.76
281,18.1124,79.0193,,0.4885997357,21.65
282,23.746783,91.743565,,0.8700964511,12.47
284,26.925425,80.560982,,1.110504424,10.95
285,30.156447,79.197608,,1.724920563,6.11
286,23.814082,87.979803,,1.016311872,15.18
287,-0.7893,113.9213,,2.390127367,21.87
288,32.427908,53.688046,,1.913578198,3.54
289,33.223191,43.679291,,1.029184217,13.24
290,53.1424,-7.6921,,0.492311289,7.12
291,31.046051,34.851612,,0.2531252124,12.04
292,42.35122196,13.39843823,,0.6026381951,9.13
293,40.63947052,15.80514834,,0.5146714452,8.55
294,38.90597598,16.59440194,,0.5209535482,10.51
295,40.83956555,14.25084984,,0.4796777204,13.27
296,44.49436681,11.3417208,,0.8994364153,15.81
297,45.6494354,13.76813649,,1.034361913,12.82
298,41.89277044,12.48366722,,0.5397058545,14.19
299,44.41149315,8.9326992,,0.8836215152,14.05
300,45.46679409,9.190347404,,1.100764757,7.5
301,43.61675973,13.5188753,,0.6093239947,10.69
302,41.55774754,14.65916051,,0.7074122759,6.65
303,46.49933453,11.35662422,,0.5517446033,5.83
304,46.06893511,11.12123097,,0.6785806355,9.57
305,45.0732745,7.680687483,,0.8104405297,6.98
306,41.12559576,16.86736689,,0.5909159919,12.3
307,39.21531192,9.110616306,,0.5746688536,15.98
308,38.11569725,13.3623567,,0.7004857572,17.36
309,43.76923077,11.25588885,,0.7246918049,15.57
310,43.10675841,12.38824698,,0.546746984,12.57
311,45.73750286,7.320149366,,1.12754898,4.04
312,45.43490485,12.33845213,,0.6178003172,9.06
313,18.1096,-77.2975,,2.267149243,30.45
314,35.035551,137.211621,,0.1886181586,5.13
315,39.748679,140.408228,,0.2681039555,-2.75
316,40.781541,140.828896,,0.2128932228,1.86
317,35.510141,140.198917,,0.2324072408,7.45
318,33.624835,132.856842,,0.1733283295,1.94
319,35.846614,136.224654,151.0,0.08693549501,1.18
320,33.526032,130.666949,,0.1704260147,1.89
321,37.378867,140.223295,,0.1301062391,-1.11
322,35.778671,137.055925,,0.1907918953,1.62
323,36.504479,138.985605,,0.2139972587,0.07
324,34.605309,132.788719,,0.1531549929,0.92
325,43.385711,142.552318,,0.3285971393,-7.43
326,35.039913,134.828057,,0.25196264,-0.74
327,36.303588,140.319591,,0.1814142639,2.06
328,36.769464,136.771027,,0.1647894403,4.93
329,39.593287,141.361777,,0.2122137554,-4.13
330,34.217292,133.969047,,0.211371301,5.88
331,31.009484,130.430665,,0.1647018495,9.84
332,35.415312,139.338983,,0.1790616928,4.53
333,33.422519,133.367307,,0.301481097,1.77
334,32.608154,130.745231,,0.1972990885,4.34
335,35.253815,135.443341,,0.2171257749,1.14
336,34.508018,136.376013,,0.1900869271,0.65
337,38.446859,140.927086,,0.1577534219,0.83
338,32.193204,131.299374,,0.1958304891,-0.45
339,36.132134,138.045528,,0.171936217,-1.07
340,33.235712,129.608033,,0.1515358314,4.71
341,34.317451,135.871644,,0.2205444918,0.88
342,37.521819,138.918647,,0.07094899887,-0.18
343,33.200697,131.43324,,0.1966163156,-1.21
344,34.89246,133.826252,,0.1460136812,-1.2
345,25.768923,126.668016,,0.1531362748,14.56
346,34.620965,135.507481,,0.280949915,6.53
348,33.286977,130.115738,,0.1563295606,1.36
349,35.997101,139.347635,,0.1819102982,1.4
350,35.215827,136.138064,,0.1507594894,6.68
351,35.07076,132.554064,193.0,0.1379546965,1.12
352,34.916975,138.407784,,0.1339325995,7.82
353,36.689912,139.819213,,0.2173925084,1.11
354,33.919178,134.242091,,0.2142280009,-4.35
355,35.711343,139.446921,,0.1701324848,2.39
356,35.359069,133.863619,161.0,0.14069614,-0.47
357,36.637464,137.269346,,0.124405805,5.82
359,33.911879,135.505446,,0.1957144079,0.2
360,38.448396,140.102154,,0.154287517,-1.27
361,34.20119,131.573293,,0.2154438381,1.32
362,35.612364,138.611489,,0.1638130147,3.28
363,31.24,36.51,,0.8083585719,9.96
364,48.0196,66.9237,,1.280516238,-14.04
365,-0.0236,37.9062,,1.660657197,22.11
366,-3.3704,-168.734,13.0,0.3790087464,26.34
367,40.3399,127.5101,6.0,600.0,-12.5
368,35.907757,127.766922,,0.1104134444,-6.37
369,42.602636,20.902977,,1.17595211,5.68
370,29.31166,47.481766,,0.3877799522,14.16
371,41.20438,74.766098,,1.447956353,-11.92
372,19.85627,102.495496,,0.3479697937,7.7
373,56.8796,24.6032,,0.6327561379,3.1
374,33.8547,35.8623,,0.8786975524,3.64
375,-29.61,28.2336,,2.078183386,18.29
376,6.428055,-9.429499,,3.65535248,27.0
377,26.3351,17.228331,,1.269242221,17.58
378,47.14,9.55,88.0,0.4132231405,-0.7
379,55.1694,23.8813,,0.7358693469,7.25
380,49.8153,6.1296,,0.3796902443,6.59
382,-18.766947,46.869107,,2.09298893,18.0
383,-13.2543,34.3015,,3.043527545,22.41
384,1.4854,103.7618,,1.1805868,24.51
385,6.1184,100.3685,,0.8589477654,25.97
386,6.1254,102.2381,,0.5478882831,25.53
387,2.1896,102.2501,,0.8306487928,25.55
388,2.7258,101.9424,,0.6643221702,26.67
389,3.8126,103.3256,,0.564070517,22.83
390,4.5921,101.0901,,0.8878344051,23.94
391,6.4449,100.2048,197.0,1.038755602,24.5
392,5.4141,100.3288,,0.6712567907,25.0
393,5.9788,116.0753,,0.7867663877,24.98
394,1.5533,110.3592,,0.5510714076,24.65
395,3.0738,101.5183,,0.7084957374,25.03
396,5.3117,103.1324,,0.6764085568,25.55
398,3.139,101.6869,,0.6105623646,24.57
399,5.2831,115.2308,158.0,0.6893843536,25.45
400,2.9264,101.6964,31.0,0.09632115337,26.28
401,3.2028,73.2207,,0.1674807343,22.71
402,17.570692,-3.996166,,2.267248482,25.9
403,35.9375,14.3754,,0.7020133537,15.12
404,7.1315,171.1845,17.0,0.109296644,28.0
405,21.0079,-10.9408,,1.571935357,24.74
406,-20.348404,57.552152,,0.3573206103,20.02
407,21.8853,-102.2916,,4.170920735,22.93
408,30.8406,-115.2838,,7.314309201,7.61
409,26.0444,-111.6661,,2.193482947,21.58
410,19.8301,-90.5349,,5.215275093,28.0
411,16.7569,-93.1292,,4.47942111,26.47
412,28.633,-106.0691,,5.971348318,18.44
413,19.4326,-99.1332,,2.435596798,20.59
414,27.0587,-101.7068,,4.921771355,13.29
415,19.1223,-104.0072,,3.292706179,29.33
416,24.5593,-104.6588,,4.607683644,22.64
417,21.019,-101.2574,,4.242313734,21.59
418,17.4392,-99.5451,,5.843287839,21.08
419,20.0911,-98.7624,,7.004562327,20.56
420,20.6595,-103.3494,,6.933562305,22.94
421,19.4969,-99.7233,,6.682987695,19.95
422,19.5665,-101.7068,,8.094929065,25.04
423,18.6813,-99.1013,,5.770889919,29.19
424,21.7514,-104.8455,,4.448213602,32.26
425,25.5922,-99.9962,,3.800403002,17.36
426,17.0732,-96.7266,,4.194232847,24.53
427,19.0414,-98.2063,,7.86315998,22.75
428,20.5888,-100.3899,,3.534649008,22.58
429,19.1817,-88.4791,,3.78771102,26.15
430,22.1565,-100.9855,,3.096631641,22.77
431,25.1721,-107.4795,,5.54978384,26.3
432,29.2972,-110.3309,,5.190741384,20.04
433,17.8409,-92.6189,,2.794194472,25.88
434,24.2669,-98.8363,,4.56701826,24.9
435,19.3139,-98.2404,,5.457943272,21.83
437,19.1738,-96.1342,,7.472434155,26.08
438,20.7099,-89.0943,,4.91516579,29.65
439,22.7709,-102.5832,,4.872168925,17.89
440,7.4256,150.5508,58.0,0.2612259605,28.0
441,47.4116,28.3699,,1.99911545,6.67
442,43.7333,7.4167,65.0,0.4070641283,15.21
443,46.8625,103.8467,,0.2120263405,-17.61
444,42.708678,19.37439,,0.979655734,9.44
445,31.7917,-7.0926,,1.281337529,14.26
446,-18.665695,35.529562,,0.9654933541,23.63
447,-22.9576,18.4904,,2.397016941,28.66
448,-0.5228,166.9315,1.0,0.02164033759,27.46
449,28.1667,84.25,,1.200684907,13.19
450,12.5211,-69.9683,,0.6399707442,29.63
451,12.1784,-68.2385,39.0,0.3328781154,29.94
452,12.1696,-68.99,,0.6501978863,29.9
453,52.862485,6.618435,,0.2152123599,8.73
454,52.550383,5.515162,,0.1746639895,8.74
455,53.087337,5.7925,,0.2135421301,7.22
456,52.061738,5.939114,,0.281490565,8.47
457,53.217922,6.741514,,0.1398643924,8.15
458,51.209227,5.93387,,0.3917041703,9.91
459,51.561174,5.184942,,0.2908516657,9.37
460,52.600906,4.918688,,0.2489025371,7.84
461,52.444558,6.441722,,135.7957084,7.89
462,18.0425,-63.0548,89.0,0.8092380433,26.86
464,52.084251,5.163824,,0.2240344625,7.73
465,51.47936,3.861559,,0.223512143,8.78
466,51.937835,4.462114,,0.2948244101,8.87
467,-21.2367,-159.7777,1.0,0.01565190171,25.92
468,-19.0544,-169.8672,0.0,0.0,24.03
469,-40.9006,174.886,,0.1101037554,13.07
470,12.865416,-85.207229,,1.59453303,28.26
471,17.607789,8.081666,,3.314683838,23.92
472,9.082,8.6753,,1.184087071,26.65
473,41.6086,21.7453,,2.779761578,9.48
474,60.472,8.4689,,0.3232175939,-6.41
475,21.512583,55.923255,,1.159452241,22.49
476,34.027401,73.947253,,1.788452864,-1.29
477,28.328492,65.898403,,1.048951049,6.31
478,35.792146,74.982138,191.0,1.579948714,-20.57
479,33.665087,73.121219,,0.7381315464,11.79
480,34.485332,72.09169,,2.83422769,11.97
481,30.811346,72.139132,,2.601921489,14.56
482,26.009446,68.776807,,1.385959373,16.93
483,7.515,134.5825,9.0,0.1507285212,26.85
484,8.538,-80.7821,,0.835897076,20.36
485,-6.314993,143.95555,,1.433684075,15.91
486,-23.4425,-58.4438,,2.485183946,39.58
487,-5.077253,-78.050172,,2.714196128,20.68
488,-9.407125,-77.671795,,4.643569056,6.25
489,-14.027713,-72.975378,,3.678711363,12.06
490,-15.843524,-72.475539,,3.675459956,23.16
491,-14.091648,-74.08344,,4.325640101,9.51
492,-6.430284,-78.745596,,4.080498409,14.23
493,-11.954609,-77.136042,,6.374394203,24.15
494,-13.191068,-72.153609,,3.621731767,5.18
495,-13.023888,-75.00277,,4.298242689,5.79
496,-9.421676,-76.040642,,4.884658603,21.28
497,-14.235097,-75.574821,,7.006615258,33.31
498,-11.541783,-74.876968,,4.915811381,7.91
499,-7.92139,-78.370238,,6.065410751,13.16
500,-6.353049,-79.824113,,7.251628256,32.0
501,-11.766533,-76.604498,,4.586788434,14.67
502,-4.124847,-74.424115,,6.906055961,24.81
503,-11.972699,-70.53172,,4.158043274,29.04
504,-16.860271,-70.839046,,2.674365836,15.98
505,-10.39655,-75.307635,,3.93610755,24.41
506,-5.133361,-80.335861,,7.304014661,32.08
507,-14.995827,-69.922726,,6.208948304,11.89
508,-7.039531,-76.729127,,4.608695652,22.53
509,-17.644161,-70.27756,,3.397377249,18.95
510,-3.857496,-80.545255,,5.166226756,25.39
511,-9.621718,-73.444929,,7.178580008,25.57
513,12.879721,121.774017,,1.609737776,24.88
514,51.9194,19.1451,,1.861143659,8.59
515,39.3999,-8.2245,,0.4642906429,10.41
516,25.3548,51.1839,,0.1397539922,17.92
517,45.9432,24.9668,,2.035213468,5.71
518,44.6939006,40.1520421,,1.885891621,4.6
519,52.6932243,82.6931424,,2.800116421,-8.37
520,50.7114101,86.8572186,,1.572876617,-10.94
521,52.8032368,128.437295,,0.6029929231,-19.5
522,63.5589686,43.1221646,,0.6585620415,-0.99
523,47.1878186,47.608851,,2.342061466,-0.28
524,54.8573563,57.1439682,,1.727387117,-3.52
525,50.7080119,37.5837615,,1.413693639,3.95
526,52.8873315,33.415853,,2.241496138,3.29
527,52.7182426,109.492143,,2.015887875,-26.65
528,43.3976147,45.6985005,,2.29434091,3.89
529,54.4223954,61.1865846,,2.072309513,-6.54
530,66.0006475,169.4900869,45.0,0.6525522042,-38.9
531,55.4259922,47.0849429,,4.357664166,1.38
532,43.0574916,47.1332224,,3.532913678,4.13
533,43.11542075,45.01713552,,1.273811992,0.25
534,56.6370122,104.719221,,2.424002034,-30.85
535,56.9167446,41.4352137,,2.453054144,3.0
536,48.57527615,132.6630746,,2.520970708,-18.25
537,43.4806048,43.5978976,,2.612852409,0.47
538,54.7293041,21.1489473,,1.050929251,6.48
539,46.2313018,45.3275745,,1.420626896,3.49
540,54.4382773,35.5272854,,1.186713384,3.07
541,57.1914882,160.0383819,,1.401219622,-17.89
542,43.7368326,41.7267991,,1.94005599,-2.2
543,62.6194031,33.4920267,,0.9382108823,-3.22
544,54.5335781,87.342861,,1.338389053,-14.81
545,51.6312684,136.121524,,0.6912696835,-15.71
546,53.72258845,91.44293627,,2.352952582,-13.0
547,61.0259025,69.0982628,,1.024863076,-17.01
548,57.9665589,49.4074599,,0.6618437421,0.55
549,63.9881421,54.3326073,,1.690336925,-9.79
550,58.424756,44.2533273,,1.424235349,1.12
551,45.7684014,39.0261044,,3.236965654,4.82
552,63.3233807,97.0979974,,2.628244316,-35.46
553,55.7655302,64.5632681,,1.23532596,-16.8
554,51.6568453,36.4852695,,1.69003572,4.09
555,60.1853296,32.3925325,,1.457688392,0.16
556,52.6935178,39.1122664,,2.236354662,4.27
557,62.48858785,153.9903764,,1.776775648,-44.14
558,56.5767504,47.8817512,,2.107692009,1.53
559,54.4419829,44.4661144,,1.680267687,1.63
560,55.7504461,37.6174943,,1.438691488,5.45
561,55.5043158,38.0353929,,1.370098515,4.68
562,68.0000418,33.9999151,,2.334876183,-13.59
563,68.27557185,57.1686375,103.0,1.234272019,-10.54
564,55.4718033,44.0911594,,2.355806827,1.85
565,42.7933611,44.6324493,,2.761973274,-2.7
566,58.2843833,32.5169757,,0.9175648121,3.73
567,54.9720169,79.4813924,,1.851875729,-13.3
568,56.0935263,73.5099936,,1.968371322,-11.98
569,52.9685433,36.0692477,,1.464905319,3.57
570,52.0269262,54.7276647,,1.672254681,-2.17
571,53.1655415,44.7879181,,2.789483885,1.09
572,58.5951603,56.3159546,,2.01605909,-3.49
573,45.0819456,134.726645,,0.9407148667,-14.87
574,57.5358729,28.8586826,,1.556321364,3.8
575,47.6222451,40.7957942,,2.525880012,2.72
576,54.4226732,40.5705246,,2.334276408,4.0
577,59.9606739,30.1586551,,2.002062562,1.21
578,66.941626,129.642371,,0.9859226274,-32.56
579,49.7219665,143.448533,,1.19295724,-7.55
580,53.2128813,50.8914633,,1.66442833,1.1
